Saint Anne's Park,walk,0,casual,1,Dublin
Malahide Castle,tour,28,casual,2,Dublin
Guinness Storehouse,tour,44,casual,2,Dublin
Saba cooking class,class,100,casual,4,Dublin
Cineworld Parnell,cinema,30,casual,1,Dublin
